ip,addr,name,mail,longitude,latitude
202.38.193.28,['广州市天河区五山路381号'],华南理工大学,['510641'],113.345982,23.152082
202.116.7.242,['广东省广州市天河区黄埔大道西601号'],暨南大学,['510632'],113.347548,23.131661
202.192.149.1,['广东省汕头市大学路243号汕头大学'],汕头大学 Shantou University,['515063'],116.631809,23.412536
210.39.4.1,['深圳市南山区南海大道3688号'],深圳大学,[],113.932603,22.527539
111.202.89.81,['广东省江门市迎宾大道中99号'],五邑大学,['529020'],113.083640,22.599977
111.202.89.81,['广州市番禺区广州大学城外环西路100号'],广东工业大学,['510006'],113.403943,23.035988
202.116.160.17,['广州市天河区五山华南农业大学'],华南农业大学,[],113.357083,23.157434
202.116.36.58,['广东省广州市天河区中山大道西55号'],华南师范大学,['510631'],113.351430,23.138962
61.143.62.100,['广东省珠海市唐家湾金同路2000号'],北京师范大学-香港浸会大学联合国际学院,['519087'],113.521178,22.351063
61.54.31.42,['广州市大学城外环西路230号'],广州大学,['510006'],113.372656,23.040937
27.39.220.1,['广东省东莞市莞城街道东正社区学院路251号'],东莞理工学院,[],113.772360,23.051018
202.192.230.232,['广东惠州市演达大道46号'],惠州学院Huizhou University,['516007'],114.418502,23.037247
210.38.160.1,['广东省梅州市梅松路'],嘉应学院,['514015'],116.122001,24.319513
58.205.213.52,['广州市天河区迎福路527号'],广东金融学院,['510521'],113.380688,23.201125
219.136.207.146,['广州市海珠区昌岗东路257号/番禺区广州大学城外环西路168号],广州美术学院,[],113.278528,23.092635
219.135.198.35,['广州市花都区赤坭镇培正路53号'],欢迎访问广东培正学院学院主页,['510830'],113.092530,23.407329
210.38.120.215,['广州市天河区天平架沙太南路113号'],广东南华工商职业学院,[],113.328525,23.171603
121.33.253.212,['广东省广州市番禺区沙湾街市良路1342号'],广州番禺职业技术学院,[],113.308705,22.902043
120.79.206.153,['广东省深圳市南山区沙河东路259号'],广东新安职业技术学院 | 学院代码：12325,[],113.970167,22.557678
211.66.88.20,['广州市天河区粤垦路198号'],广东农工商职业技术学院,[],113.332102,23.157041
211.66.186.86,['广州市海珠区新港西路152号'],广东轻工职业技术学院,['510300'],113.301648,23.091108
121.33.231.243,['广州市天河区龙腾路245号'],广东司法警官职业学院,"['510520', '510430']",113.362508,23.194685
42.247.50.232,['广州市天河区渔兴路18号'],广东工程职业技术学院,['510520'],113.379313,23.213856
211.66.80.162,['广州市番禺区市莲路南浦段2号'],广东女子职业技术学院,['511450'],113.466626,22.959425
14.119.123.196,['广州市天河区科华街351号'],广东科学技术职业学院,['510640'],113.363451,23.145142
219.222.223.162,['广州市天河区广州大道北963号'],广东工贸职业技术学院,['510510'],113.318183,23.171757
58.205.213.52,['广东省广州市番禺区市广路242号'],广东文艺职业学院,['511400'],113.346170,22.971350
42.247.48.199,['广州市天河区员村西街5号大院'],广东环境保护工程职业学院,[' 510655'],113.359621,23.121070
219.222.224.66,['广州市广园中路248号'],广州城市职业学院,[],113.274848,23.157095
58.62.159.29,['广州市增城广州华立科技园华立路7号'],广州华立科技职业学院,[],113.861963,23.241568
211.66.209.37,['广州市天河区长兴路338号广州体育职业技术学院'],广州体育职业技术学院,['510650'],113.357019,23.165902
160.121.22.5,['中国广州市从化区环市东路1123号'],广州南洋理工职业学院,['510925'],113.617008,23.582156
120.85.132.133,['广州市沙太中路大源北28号'],广州涉外经济职业技术学院,['510540'],113.364949,23.252761
121.8.214.68,['广州市增城区朱村大道东432号(广州地铁21号线山田站或朱村站）'],广州松田职业学院,[],113.726603,23.277244
203.107.45.167,['广东省广州市从化城鳌大道东772号'],广州华夏职业学院,[],113.514699,23.575271
218.18.89.222,['广东省深圳市南山区留仙大道7098号'],深圳职业技术学院,['518055'],113.935984,22.582695
61.143.157.33,['广东省普宁市大学路1号'],潮汕职业技术学院,['515343'],116.141881,23.292113
218.13.33.168,['广东省佛山市顺德区德胜东路'],顺德职业技术学院,[],113.166847,22.683588
219.129.166.3,['广东省汕尾市城区文德路'],汕尾职业技术学院,['516600'],115.370237,22.790342
219.222.126.12,['揭阳市榕城区仙桥镇紫峰山下'],揭阳职业技术学院,['522000'],116.315905,23.477239
125.216.104.1,['广东省清远市清城区东城街蟠龙园'],清远职业技术学院,['511510'],113.080065,23.719365
202.104.205.215,['广东省江门市潮连大道6号'],江门职业技术学院,[],113.110547,22.628947
125.93.83.170,['东莞市松山湖高新技术产业开发区大学路3号'],东莞职业技术学院,['523808'],113.856794,22.897559
121.201.2.202,['广东省珠海市金湾区广安路2号'],珠海艺术职业学院,['519090'],113.352299,22.135272
59.38.32.54,['广东省珠海市香洲区唐家湾金凤路18号'],北京师范大学珠海分校,[],113.538455,22.348906
210.38.224.226,['广东省中山市石岐区学院路1号'],首页-电子科技大学中山学院,[],113.389114,22.524480
61.144.79.252,['广州市增城广州华立科技园华立路11号'],广州华立学院,[],113.861963,23.241568
121.8.214.80,['广东省广州市增城区朱村街朱村大道东432号'],广州应用科技学院,[],113.726603,23.277244
218.16.99.100,['广东·东莞市寮步镇文昌路1号'],东莞城市学院官网（原东莞理工学院城市学院）,[' 523419'],113.983570,22.957825
125.216.100.4,['广东省广州市增城荔湖街华商路一号'],广州华商学院,['511300'],113.776580,23.258183
120.236.153.47,['广州市白云区良田中路181号'],广东外语外贸大学南国商学院,['510545'],113.383384,23.337461
162.105.131.160,['北京市海淀区颐和园路5号'],北京大学,['100871'],116.310454,39.992734
121.194.14.84,['北京市海淀区中关村大街59号'],中国人民大学,['100872'],116.312503,39.971025
202.112.154.197,['北京市海淀区上园村3号北京交通大学'],北京交通大学,['100044'],116.336880,39.951256
116.211.138.209,['北京市海淀区学院路30号'],北京科技大学,['100083'],116.358166,39.990258
202.204.193.84,['北京市昌平区府学路18号'],中国石油大学(北京),['102249'],116.247993,40.218178
202.112.209.92,['北京市海淀区学院路丁11号'],中国矿业大学（北京）,[],116.348374,39.997542
211.68.69.240,['北京市西土城路10号'],北京邮电大学,['100876'],116.357940,39.962097
202.204.112.10,['北京市海淀区清华东路35号'],北京林业大学,['100083'],116.345306,40.003177
116.211.138.205,['北京市朝阳区北三环东路11号'],北京中医药大学,['100029'],116.427357,39.971030
113.229.254.45,['北京市海淀区西三环北路2号'],北京外国语大学,['100089'],116.313211,39.955501
