ip,dist,delays
172.24.52.71,202.116.160.17,"[['192.168.13.1', ['9', '7', '8']], ['10.1.1.1', ['1', '2', '2']], ['202.112.5.229', ['4', '5', '2']], ['101.4.113.233', ['9', '5', '3']], ['101.4.112.2', ['16', '13', '13']], ['101.4.117.37', ['31', '24', '27']], ['101.4.112.37', ['33', '35', '33']], ['101.4.117.34', ['43', '38', '38']], ['101.4.114.61', ['40', '41', '39']], ['202.112.19.86', ['*', '1188', '*']], ['202.112.19.9', ['37', '37', '38']], ['210.38.0.90', ['37', '38', '38']], ['202.116.160.17', ['39', '37', '38']]]"
172.24.52.71,113.229.254.45,"[['192.168.13.1', ['23', '28', '27']], ['10.1.1.1', ['3', '2', '2']], ['61.148.29.225', ['3', '4', '3']], ['61.148.153.149', ['3', '4', '4']], ['202.106.230.81', ['*', '3', '*']], ['219.158.13.254', ['15', '15', '16']], ['218.25.240.246', ['22', '17', '17']], ['60.21.162.154', ['19', '17', '17']], ['113.229.254.45', ['19', '19', '18']]]"
172.24.52.71,221.231.9.5,"[['192.168.13.1', ['31', '24', '24']], ['10.1.1.1', ['2', '2', '2']], ['61.148.29.225', ['7', '4', '6']], ['61.148.153.149', ['3', '3', '3']], ['219.232.11.29', ['*', '*', '4']], ['124.65.194.161', ['4', '4', '4']], ['219.158.13.6', ['23', '21', '24']], ['219.158.20.158', ['29', '31', '31']], ['202.97.24.49', ['*', '28', '28']], ['58.223.208.194', ['*', '31', '*']], ['218.92.142.113', ['32', '32', '32']], ['61.177.241.74', ['81', '35', '35']], ['221.231.9.5', ['34', '32', '32']]]"
172.24.52.71,120.79.206.153,"[['192.168.13.1', ['22', '29', '27']], ['10.1.1.1', ['3', '2', '2']], ['61.148.29.225', ['4', '3', '3']], ['61.148.153.157', ['4', '4', '4']], ['61.148.157.229', ['9', '*', '4']], ['124.65.194.33', ['4', '5', '5']], ['120.86.0.86', ['46', '46', '47']], ['120.80.99.22', ['50', '39', '40']], ['112.95.237.198', ['130', '39', '40']], ['120.79.206.153', ['45', '45', '47']]]"
172.24.52.71,202.119.224.201,"[['192.168.13.1', ['24', '31', '24']], ['10.1.1.1', ['5', '2', '1']], ['202.112.5.229', ['13', '3', '2']], ['101.4.113.233', ['6', '9', '7']], ['101.4.115.202', ['26', '25', '25']], ['101.4.112.62', ['32', '34', '31']], ['101.4.117.26', ['61', '34', '38']], ['101.4.116.97', ['35', '35', '42']], ['219.219.146.2', ['*', '117', '97']], ['219.219.145.5', ['*', '42', '34']], ['219.219.147.142', ['36', '38', '38']], ['202.119.224.201', ['34', '35', '35']]]"
172.24.52.71,202.116.36.58,"[['192.168.13.1', ['6', '4', '6']], ['10.1.1.1', ['5', '1', '3']], ['202.112.5.229', ['2', '2', '2']], ['101.4.113.233', ['4', '12', '3']], ['101.4.112.2', ['13', '15', '18']], ['101.4.117.37', ['37', '25', '24']], ['101.4.116.225', ['44', '39', '44']], ['101.4.114.61', ['48', '40', '46']], ['202.112.19.9', ['41', '39', '37']], ['210.38.0.42', ['44', '39', '39']], ['202.116.36.58', ['39', '38', '38']]]"
172.24.52.71,202.112.192.195,"[['192.168.13.1', ['14', '11', '9']], ['10.1.1.1', ['1', '4', '3']], ['202.112.5.229', ['6', '38', '5']], ['101.4.113.233', ['14', '13', '3']], ['101.4.116.94', ['3', '4', '4']], ['101.4.117.134', ['2', '6', '3']], ['202.112.192.195', ['6', '4', '6']]]"
172.24.52.71,14.119.123.196,"[['192.168.13.1', ['22', '28', '27']], ['10.1.1.1', ['3', '2', '2']], ['61.148.29.225', ['4', '3', '3']], ['61.148.153.157', ['4', '3', '4']], ['219.158.96.194', ['51', '42', '47']], ['202.97.81.37', ['48', '47', '47']], ['202.97.81.245', ['41', '*', '40']], ['14.148.18.14', ['42', '44', '42']], ['14.148.19.54', ['45', '51', '42']], ['14.215.220.46', ['*', '43', '*']], ['14.119.123.196', ['46', '69', '48']], ['14.119.123.196', ['*', '*', '45']]]"
172.24.52.71,211.65.8.3,"[['192.168.13.1', ['15', '7', '10']], ['10.1.1.1', ['3', '2', '2']], ['202.112.5.229', ['3', '3', '44']], ['101.4.113.233', ['4', '3', '5']], ['101.4.112.2', ['17', '15', '13']], ['101.4.117.37', ['178', '24', '24']], ['101.4.112.62', ['32', '30', '30']], ['101.4.117.26', ['36', '34', '34']], ['101.4.116.97', ['37', '36', '35']], ['219.219.145.2', ['*', '*', '32']], ['219.219.147.146', ['34', '34', '38']], ['219.219.147.222', ['35', '37', '36']], ['211.65.8.3', ['34', '37', '37']]]"
172.24.52.71,61.143.62.100,"[['192.168.13.1', ['13', '10', '5']], ['10.1.1.1', ['3', '2', '1']], ['61.148.29.225', ['4', '3', '6']], ['61.148.153.157', ['5', '5', '12']], ['61.148.157.229', ['7', '8', '3']], ['61.49.214.41', ['*', '6', '6']], ['219.158.99.10', ['43', '38', '38']], ['202.97.17.149', ['45', '38', '48']], ['14.148.18.14', ['40', '43', '44']], ['14.148.22.154', ['41', '49', '60']], ['61.143.62.123', ['39', '46', '43']], ['61.143.62.100', ['50', '42', '42']]]"
172.24.52.71,219.242.16.33,"[['192.168.13.1', ['23', '28', '26']], ['10.1.1.1', ['3', '2', '2']], ['202.112.5.229', ['27', '3', '3']], ['101.4.113.233', ['6', '8', '5']], ['101.4.116.94', ['4', '8', '5']], ['101.4.117.134', ['4', '6', '4']], ['202.112.41.173', ['7', '12', '8']], ['202.112.41.173', ['27', '36', '4']], ['202.112.41.173', ['6', '5', '26']], ['202.112.41.173', ['19', '6', '4']], ['202.112.41.173', ['43', '7', '9']], ['202.112.41.173', ['9', '29', '9']], ['202.112.41.173', ['49', '170', '66']], ['202.112.41.173', ['8', '26', '6']], ['202.112.41.173', ['25', '7', '7']], ['202.112.41.173', ['19', '11', '8']], ['202.112.41.173', ['6', '26', '10']]]"
172.24.52.71,210.38.160.1,"[['192.168.13.1', ['7', '9', '8']], ['10.1.1.1', ['1', '2', '3']], ['202.112.5.229', ['4', '5', '2']], ['101.4.113.233', ['9', '3', '3']], ['101.4.112.2', ['16', '13', '13']], ['101.4.117.37', ['31', '25', '27']], ['101.4.112.37', ['33', '35', '30']], ['101.4.117.34', ['43', '38', '38']], ['101.4.114.61', ['40', '41', '39']], ['222.200.253.5', ['39', '39', '39']], ['222.200.253.2', ['46', '39', '42']], ['202.116.225.254', ['87', '44', '100']], ['210.38.163.129', ['66', '45', '46']]]"
172.24.52.71,61.54.31.42,"[['192.168.13.1', ['48', '16', '6']], ['10.1.1.1', ['3', '2', '1']], ['61.148.29.225', ['6', '8', '2']], ['61.148.153.149', ['4', '5', '3']], ['219.232.11.29', ['*', '*', '5']], ['124.65.194.81', ['5', '*', '*']], ['219.158.119.254', ['23', '13', '13']], ['61.168.27.106', ['59', '15', '15']], ['182.118.124.62', ['21', '17', '22']], ['61.54.31.42', ['15', '14', '14']]]"
172.24.52.71,218.16.99.100,"[['192.168.13.1', ['24', '32', '23']], ['10.1.1.1', ['2', '1', '3']], ['61.148.29.225', ['7', '4', '4']], ['61.148.153.149', ['3', '2', '3']], ['202.106.36.145', ['*', '4', '*']], ['125.33.186.9', ['5', '4', '3']], ['219.158.96.198', ['44', '132', '39']], ['202.97.17.149', ['53', '40', '39']], ['121.12.142.54', ['38', '37', '38']], ['202.104.167.250', ['38', '36', '35']], ['218.16.99.100', ['39', '74', '35']]]"
172.24.52.71,211.66.209.37,"[['192.168.13.1', ['23', '33', '24']], ['10.1.1.1', ['3', '1', '2']], ['202.112.5.229', ['13', '3', '2']], ['101.4.113.233', ['6', '13', '9']], ['101.4.112.2', ['13', '13', '13']], ['101.4.117.37', ['23', '26', '23']], ['101.4.116.225', ['43', '46', '38']], ['101.4.114.61', ['43', '40', '43']], ['202.112.19.86', ['*', '*', '1090']], ['222.16.81.2', ['39', '38', '38']], ['222.16.83.95', ['40', '40', '39']]]"
172.24.52.71,125.93.83.170,"[['192.168.13.1', ['31', '24', '24']], ['10.1.1.1', ['5', '2', '1']], ['61.148.29.225', ['5', '2', '4']], ['61.148.153.149', ['3', '2', '2']], ['202.106.230.81', ['*', '*', '4']], ['219.158.106.2', ['45', '48', '47']], ['202.97.17.169', ['43', '45', '50']], ['202.97.95.149', ['38', '43', '*']], ['219.132.200.14', ['41', '40', '44']], ['113.98.26.190', ['41', '39', '39']], ['125.93.83.130', ['44', '44', '43']]]"
172.24.52.71,58.205.213.52,"[['192.168.13.1', ['6', '4', '3']], ['10.1.1.1', ['3', '2', '2']], ['202.112.5.229', ['206', '8', '2']], ['101.4.113.233', ['10', '6', '3']], ['101.4.115.202', ['*', '25', '26']], ['101.4.116.225', ['42', '39', '40']], ['101.4.114.61', ['48', '44', '57']], ['58.205.213.52', ['48', '43', '41']]]"
172.24.52.71,202.119.200.206,"[['192.168.13.1', ['30', '25', '24']], ['10.1.1.1', ['2', '2', '3']], ['202.112.5.229', ['13', '2', '2']], ['101.4.113.233', ['6', '8', '6']], ['101.4.115.202', ['26', '25', '25']], ['101.4.112.62', ['32', '34', '32']], ['101.4.117.26', ['61', '34', '36']], ['101.4.116.97', ['35', '35', '42']], ['219.219.146.2', ['*', '117', '97']], ['219.219.148.162', ['493', '398', '398']]]"
172.24.52.71,218.94.124.50,"[['192.168.13.1', ['31', '24', '24']], ['10.1.1.1', ['2', '2', '3']], ['61.148.29.225', ['7', '4', '4']], ['61.148.153.149', ['2', '3', '3']], ['125.33.186.117', ['68', '20', '5']], ['219.158.108.194', ['20', '26', '21']], ['219.158.23.62', ['24', '22', '126']], ['202.97.65.77', ['*', '*', '26']], ['116.211.80.106', ['35', '23', '23']], ['116.211.112.254', ['22', '22', '43']]]"
172.24.52.71,218.3.86.189,"[['192.168.13.1', ['31', '24', '24']], ['10.1.1.1', ['2', '2', '3']], ['61.148.29.225', ['7', '4', '4']], ['61.148.153.149', ['2', '3', '3']], ['125.33.186.117', ['68', '20', '5']], ['219.158.108.194', ['20', '26', '21']], ['219.158.23.62', ['24', '22', '126']], ['202.97.65.77', ['*', '*', '26']], ['116.211.80.106', ['35', '23', '23']], ['116.211.112.254', ['22', '22', '43']]]"
172.24.52.71,116.211.138.209,"[['192.168.13.1', ['31', '24', '24']], ['10.1.1.1', ['2', '2', '3']], ['61.148.29.225', ['7', '4', '4']], ['61.148.153.149', ['2', '3', '3']], ['125.33.186.117', ['68', '20', '5']], ['219.158.108.194', ['20', '26', '21']], ['219.158.23.62', ['24', '22', '126']], ['202.97.65.77', ['*', '*', '26']], ['116.211.80.106', ['35', '23', '23']], ['116.211.112.254', ['22', '22', '43']]]"
172.24.52.71,123.127.3.1,"[['192.168.13.1', ['23', '28', '26']], ['10.1.1.1', ['3', '2', '3']], ['61.148.29.225', ['3', '2', '4']], ['61.148.153.149', ['3', '3', '4']], ['219.232.11.29', ['4', '*', '2']], ['221.216.106.86', ['7', '3', '3']], ['124.65.227.254', ['1051', '1001', '*']], ['123.127.3.1', ['7', '10', '4']], ['123.127.3.1', ['5', '6', '6']]]"
172.24.52.71,202.38.193.28,"[['192.168.13.1', ['9', '7', '8']], ['10.1.1.1', ['1', '2', '3']], ['202.112.5.229', ['4', '5', '2']], ['101.4.113.233', ['10', '4', '6']], ['101.4.115.202', ['25', '26', '26']], ['101.4.116.225', ['141', '42', '40']], ['101.4.114.61', ['43', '42', '50']], ['202.112.19.9', ['39', '39', '39']]]"
172.24.52.71,114.242.165.218,"[['192.168.13.1', ['24', '32', '24']], ['10.1.1.1', ['3', '2', '2']], ['202.112.5.229', ['13', '2', '2']], ['101.4.113.233', ['6', '8', '6']], ['101.4.116.94', ['11', '3', '4']], ['101.4.117.134', ['4', '6', '3']], ['101.4.32.3', ['2', '2', '2']], ['', ['', '', '']], ['', ['成。', '', '']], ['', ['', '', '']]]"
172.24.52.71,219.242.208.16,"[['192.168.13.1', ['24', '32', '24']], ['10.1.1.1', ['3', '2', '2']], ['202.112.5.229', ['13', '2', '2']], ['101.4.113.233', ['6', '8', '6']], ['101.4.116.94', ['11', '3', '4']], ['101.4.117.134', ['4', '6', '3']], ['101.4.32.3', ['2', '2', '2']], ['', ['', '', '']], ['', ['成。', '', '']], ['', ['', '', '']]]"
172.24.52.71,222.249.249.41,"[['192.168.13.1', ['48', '6', '7']], ['10.1.1.1', ['2', '2', '2']], ['61.148.29.225', ['2', '3', '4']], ['61.148.153.157', ['244', '5', '2']], ['61.148.158.69', ['*', '9', '*']], ['219.158.102.202', ['9', '6', '7']], ['221.183.95.53', ['9', '*', '*']], ['111.13.188.33', ['26', '25', '26']], ['39.156.0.46', ['*', '7', '*']], ['39.156.1.205', ['*', '*', '12']], ['211.153.1.45', ['*', '66', '*']], ['211.153.5.114', ['11', '11', '11']], ['211.153.4.90', ['*', '12', '*']], ['211.153.4.126', ['12', '8', '7']], ['211.153.4.134', ['68', '8', '9']], ['211.153.11.2', ['9', '15', '17']], ['222.249.249.41', ['95', '11', '14']]]"
172.24.52.71,210.31.160.14,"[['192.168.13.1', ['42', '18', '7']], ['10.1.1.1', ['2', '1', '1']], ['202.112.5.229', ['3', '2', '4']], ['101.4.113.233', ['4', '4', '4']], ['101.4.116.94', ['4', '2', '2']], ['101.4.117.134', ['8', '4', '6']], ['202.112.41.134', ['349', '*', '440']], ['210.31.160.14', ['4', '5', '3']]]"
